id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
GVn04,"Venice Covered Serving Pot 22,5cm","Venice Covered Serving Pot 22,5cm is a premium serving piece designed for elegant dining experiences and professional table presentations. It adds prestige and luxury to any table setting. Its spacious 22,5cm size is ideal for serving hot dishes, main courses, and gourmet presentations in style. The covered design helps maintain food temperature while offering a hygienic and elegant serving experience. Perfect for luxury hotels, fine dining restaurants, and high-end interiors seeking both functionality and refined aesthetics. Product Size: D:22,5cm",in stock,new,439.00 USD,https://www.laledevri.com.tr/en/shop/venice-covered-serving-pot-225cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0001.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Serving Plates,
GVn21,Venice Covered Jam Holder,"Venice Silver Plated Covered Jam Holder is a premium serving piece designed for elegant breakfast presentations and refined dining experiences. Its sophisticated silver-plated exterior reflects timeless, while the inner glass bowl provides a hygienic and stylish way to serve jam, honey, sauces, and gourmet accompaniments. The covered design helps preserve freshness while adding a luxurious touch to the table setting. Ideal for luxury hotels, boutique restaurants, and high-end interiors seeking both elegance and functionality.",in stock,new,97.50 USD,https://www.laledevri.com.tr/en/shop/venice-covered-jam-holder/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0002.jpg,Lale Devri,3498,,2,,,,,,,,Silver Plated,,,,,,,,,Collections,Glassware and Bowls,
GVn20,Venice 4-Piece Spice Holder,"Venice Silver Plated 4-Piece Spice Holder is a refined tabletop accessory designed for sophisticated dining experiences and luxury interiors. Its four-compartment functional design allows you to organize and present salt, pepper, and gourmet spices in a stylish and hygienic way. Perfect for luxury restaurants, boutique hotels, elegant dining tables, and premium kitchen decor concepts.",in stock,new,797.00 USD,https://www.laledevri.com.tr/en/shop/venice-4-piece-spice-holder/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0003.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Silver-Plated Tableware and Accessories,
GVn19,Venice 2-Piece Spice Holder,"Venice Silver Plated 2-Piece Spice Holder is designed to bring timeless elegance and refined sophistication to premium dining spaces. Ideal for exclusive dining concepts, boutique hotels, and refined interiors, this functional spice holder offers a stylish way to present salt, pepper, and gourmet spices. Crafted for high-end customers who value elegance, quality, and distinguished presentation.",in stock,new,474.00 USD,https://www.laledevri.com.tr/en/shop/venice-2-piece-spice-holder/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0004.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Silver-Plated Tableware and Accessories,
GVn17,Venice Ice Cream Bowl,"Venice Silver Plated Ice Cream Bowl is radiant silver-plated finish and graceful create a luxurious serving experience for ice cream, sorbet, desserts, and gourmet treats. Designed for premium lifestyles and distinguished dining settings, this exquisite piece is perfect for both everyday luxury and elegant entertaining. Product Size: D: 9cm H: 8cm",in stock,new,63.00 USD,https://www.laledevri.com.tr/en/shop/venice-ice-cream-bowl/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0005.jpg,Lale Devri,3498,,50,,,,,,,,Silver Plated,,,,,,,,,Collections,Glassware and Bowls,
GVn16,Venice Sugar Bowl Small,"Venice Silver Plated Sugar Bowl is designed for sophisticated interiors and refined table settings. Featuring an exquisite silver-plated finish and elegant craftsmanship, this premium decorative piece elevates every presentation with prestige and style. Perfect for luxury dining tables, coffee corners, consoles, and living spaces, Venice Sugar Bowl offers both decorative beauty and functional use. Created for discerning customers who appreciate exclusive home accessories and upscale decor, it stands out as a distinguished gift alternative and a statement piece for elegant homes. Product Size: D: 10,5cm H: 5,5cm",in stock,new,132.00 USD,https://www.laledevri.com.tr/en/shop/venice-sugar-bowl-small/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0006.jpg,Lale Devri,3498,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Glassware and Bowls,
GS39,Safiye Sultan Square Napkin Holder,"Safiye Sultan Silver Plated Square Napkin Holder is an elegant table accessory designed for luxury dining settings and sophisticated event decor. Featuring a refined square-inspired form and a radiant silver-plated finish, it transforms napkin presentation into a stylish decorative detail while adding prestige to every table arrangement. Ideal for wedding, engagement celebrations, gala dinners, luxury hospitality concepts, and exclusive events, this piece creates a refined and sophisticated atmosphere.",in stock,new,366.00 USD,https://www.laledevri.com.tr/en/shop/safiye-sultan-square-napkin-holder-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0007.jpg,Lale Devri,6324,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Napkin Holders,
CPO2A,Saray Gold Tea Cup with Handle,"Featuring delicately crafted gold patterns and an elegant handle design, this piece is perfect for both everyday indulgence and exclusive table settings. Bringing together the heritage of Turkish tea culture with a modern luxury touch, this exquisite glass elevates every serving and also makes a distinguished gift choice.",in stock,new,182.00 USD,https://www.laledevri.com.tr/en/shop/saray-gold-tea-cup-with-handle/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0008.jpg,Lale Devri,6049,,50,,,,,Gold,,,Glass,,,,,,,,,Collections,Glass Products,
CPO1A,Saray Gold Tea Cup,Saray Gold Tea Cup,in stock,new,176.00 USD,https://www.laledevri.com.tr/en/shop/saray-gold-tea-cup/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0009.jpg,Lale Devri,6049,,50,,,,,Gold,,,Glass,,,,,,,,,Glass Products,Saray,
CK03A,Kelebek Gold Mirra,Mirra from the Kelebek collection. Add elegance to your tables with the Gold and Platinum option. Product sizes Height: 5cm Diameter: 6cm Weight: 44g Volume: 45cc,in stock,new,86.00 USD,https://www.laledevri.com.tr/en/shop/kelebek-gold-mirra/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0010.jpg,Lale Devri,6049,,1,,,,,Gold,,,Glass,,,,,,,,,Collections,Glass Products,
Cİ05P,Heybeli Ipekyolu Platinum Tea Cup,Tea Cup from the Heybeli Ipekyolu collection. Add elegance to your tables with the platinum option. Product sizes Height: 9cm Diameter: 5.5cm Weight: 104g Volume: 132 cc,in stock,new,293.00 USD,https://www.laledevri.com.tr/en/shop/heybeli-ipekyolu-platinum-tea-cup/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0011.jpg,Lale Devri,6049,,50,,,,,,,,Glass,,,,,,,,,Collections,Glass Products,
CS17,Sitare Drop Mirra,"Signature piece inspired touch from our cultural heritage… Sitare Mirra blends tradition with modern elegance. Its distinctive design shines on every table with a bold, refined presence. Perfect for serving unforgettable moments. ✨ Product sizes Height: 5cm Diameter: 6cm Weight: 44g Volume: 45cc",in stock,new,28.00 USD,https://www.laledevri.com.tr/en/shop/sitare-drop-mirra/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0012.jpg,Lale Devri,6049,,50,,,,,,,,Glass,,,,,,,,,Collections,Glass Products,
CS16,Sitare Heart Mirra,"Signature piece inspired touch from our cultural heritage… Sitare Mirra blends tradition with modern elegance. Its distinctive design shines on every table with a bold, refined presence. Perfect for serving unforgettable moments. ✨ Product sizes Height: 5cm Diameter: 6cm Weight: 44g Volume: 45cc",in stock,new,28.00 USD,https://www.laledevri.com.tr/en/shop/sitare-heart-mirra/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0013.jpg,Lale Devri,6049,,50,,,,,,,,Glass,,,,,,,,,Collections,Glass Products,
GVn15,Venice Sugar Bowl Medium,"Venice Silver Plated Sugar Bowl is designed for sophisticated interiors and refined table settings. Featuring an exquisite silver-plated finish and elegant craftsmanship, this premium decorative piece elevates every presentation with prestige and style. Perfect for luxury dining tables, coffee corners, consoles, and living spaces, Venice Sugar Bowl offers both decorative beauty and functional use. Created for discerning customers who appreciate exclusive home accessories and upscale decor, it stands out as a distinguished gift alternative and a statement piece for elegant homes. Product Size: D: 12cm H: 7cm",in stock,new,171.00 USD,https://www.laledevri.com.tr/en/shop/venice-sugar-bowl-medium/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0014.jpg,Lale Devri,3498,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Glassware and Bowls,
GVn06,Venice Salad Bowl,"Venice Silver Plated Salad Bowl is a sophisticated serving piece designed for elegant dining tables and refined presentations. Its design makes it ideal for serving salads, fruits, snacks, and gourmet presentations with style and functionality. Perfect for luxury hotels, fine dining restaurants, and high-end living spaces seeking premium tabletop elegance.",in stock,new,268.00 USD,https://www.laledevri.com.tr/en/shop/venice-salad-bowl/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0015.jpg,Lale Devri,3498,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Glassware and Bowls,
GVn03,Venice Covered Serving Pot 28cm,"Venice Covered Serving Pot 28cm is a premium serving piece designed for elegant dining experiences and professional table presentations. It adds prestige and luxury to any table setting. Its spacious 28cm size is ideal for serving hot dishes, main courses, and gourmet presentations in style. The covered design helps maintain food temperature while offering a hygienic and elegant serving experience. Perfect for luxury hotels, fine dining restaurants, and high-end interiors seeking both functionality and refined aesthetics.",in stock,new,561.00 USD,https://www.laledevri.com.tr/en/shop/venice-covered-serving-pot-28cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0016.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Serving Plates,
wc-5002,Başak Square Placemat,40x40cm square placemat crafted from black linen. Embroidery and flawless stitching bring timeless elegance to any table. Perfect for refined table settings and special gatherings.,in stock,new,40.00 USD,https://www.laledevri.com.tr/en/shop/basak-square-placemat/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0017.jpg,Lale Devri,2547,,1,,,,,,,,Cotton,,,,,,,,,Placemats,Table Linens,
wc-4992,Seda Round Placemat,"D:40cm placemat produced from pure ecru linen. With its all-around embroidered silver detailing and impeccable stitching, it brings timeless elegance to any table. Perfect for refined table settings and special gatherings.",in stock,new,40.00 USD,https://www.laledevri.com.tr/en/shop/seda-round-placemat/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0018.jpg,Lale Devri,2547,,50,,,,,,,,Cotton,,,,,,,,,Placemats,Table Linens,
wc-4982,Kumsal Square Placemat,40x40cm square placemat crafted from pure linen. Embroidery and flawless stitching bring timeless elegance to any table. Perfect for refined table settings and special gatherings.,in stock,new,25.00 USD,https://www.laledevri.com.tr/en/shop/kumsal-square-placemat/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0019.jpg,Lale Devri,2547,,50,,,,,,,,Cotton,,,,,,,,,Placemats,Table Linens,
wc-4346,Kafes Round Placemat,"D:38cm placemat produced from pure ecru linen. With its all-around embroidered ecru detailing and impeccable stitching, it brings timeless elegance to any table. Perfect for refined table settings and special gatherings.",in stock,new,35.00 USD,https://www.laledevri.com.tr/en/shop/kafes-round-placemat/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0020.jpg,Lale Devri,2547,,50,,,,,,,,Cotton,,,,,,,,,Placemats,Table Linens,
GT25,Paris Tray 45x31cm,"This silver-plated tray features a generous size of 45x31cm, designed for grand and sophisticated presentations. Ideal for hosting elegant gatherings, serving multiple items, or elevating special occasions, this tray offers both practically and visual impact. Its radiant finish and timeless design seamlessly blend classic luxury with modern aesthetics, making it a perfect choice for high-end interiors.",in stock,new,780.00 USD,https://www.laledevri.com.tr/en/shop/paris-tray-45x31cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0021.jpg,Lale Devri,4009,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Paris,
GT23,Paris Tray 22x32cm,"Perfect for serving coffee, hosting elegant gatherings, or enhancing your interior decor, this tray stands out with its fine craftsmanship and radiant finish. Its timeless design seamlessly complements both classic and contemporary styles, meeting the expectations of high-end customers who appreciate quality and aesthetics.",in stock,new,463.00 USD,https://www.laledevri.com.tr/en/shop/paris-tray-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0022.jpg,Lale Devri,4009,,1,,,,,,,,Silver Plated,,,,,,,,,Paris,Serving Trays,
GT20,Paris Tray 20x20cm,"Perfect for serving coffee, hosting elegant gatherings, or enhancing your interior decor, this tray stands out with its fine craftsmanship and radiant finish. Its timeless design seamlessly complements both classic and contemporary styles, meeting the expectations of high-end customers who appreciate quality and aesthetics.",in stock,new,273.00 USD,https://www.laledevri.com.tr/en/shop/paris-tray-20x20cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0023.jpg,Lale Devri,4009,,1,,,,,,,,Silver Plated,,,,,,,,,Paris,Serving Trays,
GTÇ5,Vektorel Steel Tray 22x32cm,Vektorel Steel Tray 22x32cm,in stock,new,39.00 USD,https://www.laledevri.com.tr/en/shop/vektorel-steel-tray-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0024.jpg,Lale Devri,4009,,50,,,,,,,,Stainless Steel,,,,,,,,,Steel Serving Trays,,
GTÇ6,Vektorel Steel Tray 20x20cm,Vektorel Steel Tray 20x20cm,out of stock,new,27.00 USD,https://www.laledevri.com.tr/en/shop/vektorel-steel-tray-20x20cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0025.jpg,Lale Devri,4009,,0,,,,,,,,Stainless Steel,,,,,,,,,Steel Serving Trays,,
GTÇ3,Plain Steel Tray 22x32cm,From Tepsi series Tray Plain. Ready to add elegance to your tables.,in stock,new,29.00 USD,https://www.laledevri.com.tr/en/shop/plain-steel-tray-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0026.jpg,Lale Devri,4009,,50,,,,,,,,Stainless Steel,,,,,,,,,Steel Serving Trays,,
GTÇ1G,Kanuni Silver Steel Tray 22x32cm,Kanuni Çelik from the tray series. It is ready to take its place on your tables with its Silver and Gold plated options.,in stock,new,44.00 USD,https://www.laledevri.com.tr/en/shop/kanuni-silver-steel-tray-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0027.jpg,Lale Devri,4009,,50,,,,,Silver,,,Stainless Steel,,,,,,,,,Collections,Kanuni,
GTÇ1A,Kanuni Gold Steel Tray 22x32cm,Kanuni Çelik from the tray series. It is ready to take its place on your tables with its Silver and Gold plated options.,in stock,new,48.00 USD,https://www.laledevri.com.tr/en/shop/kanuni-gold-steel-tray-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0028.jpg,Lale Devri,4009,,50,,,,,Gold,,,Stainless Steel,,,,,,,,,Collections,Kanuni,
GT44,Venice Tray 45x31cm,"This silver-plated tray features a generous size of 45x31cm, designed for grand and sophisticated presentations. Ideal for hosting elegant gatherings, serving multiple items, or elevating special occasions, this tray offers both practically and visual impact. Its radiant finish and timeless design seamlessly blend classic luxury with modern aesthetics, making it a perfect choice for high-end interiors.",in stock,new,780.00 USD,https://www.laledevri.com.tr/en/shop/venice-tray-45x31cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0029.jpg,Lale Devri,4009,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Serving Trays,
GT40,Venice Tray 14x32cm,"This silver-plated tray features a refined rectangular form (14x32cm), designed for sophisticated and stylish presentations. Ideal for serving coffee, tea, or gourmet treats, this tray enhances any setting with its polished finish and fine craftsmanship. Blending classic and contemporary aesthetics, it is a perfect choice for those who value luxury, detail, and timeless design.",in stock,new,317.00 USD,https://www.laledevri.com.tr/en/shop/venice-tray-14x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0030.jpg,Lale Devri,4009,,2,,,,,,,,Silver Plated,,,,,,,,,Serving Trays,Silver-Plated Tableware and Accessories,
GL18,Lalezar Cake Server 27cm,Lalezar Cake Server 27cm,in stock,new,360.00 USD,https://www.laledevri.com.tr/en/shop/lalezar-cake-server-27cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0031.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,0.093 kg,,,,,,Collections,Lalezar,
GL13,Lalezar Sugar Tongs,Lalezar Sugar Tongs,in stock,new,135.00 USD,https://www.laledevri.com.tr/en/shop/lalezar-sugar-tongs/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0032.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,0.04 kg,,,,,,Collections,Lalezar,
GL12,Lalezar Teaspoon,Add elegance to your tables with the Teaspoon from the Lalezar series.,in stock,new,58.50 USD,https://www.laledevri.com.tr/en/shop/lalezar-teaspoon-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0033.jpg,Lale Devri,3939,,50,,,,,,,,Silver Plated,,,0.017 kg,,,,,,Collections,Lalezar,
GL09,Lalezar Dinner Knife 24cm,"The silver-plated Lalezar dinner knife is crafted for refined table settings, combining elegant design with exceptional craftsmanship. Its balanced structure and ergonomic form provide both comfort and sophistication during dining. With its finely detailed handle and high-quality silver plating, the Lalezar dinner knife pairs perfectly with the matching dinner fork and spoon from the same collection, creating a distinguished atmosphere for both everyday dining and special occasions. The Lalezar Series takes its name from ‘Lalezar,’ a cultural symbol reflecting the taste and aesthetic sensibilities of the Ottoman Empire during the Westernization period known as the Tulip Era.",in stock,new,178.00 USD,https://www.laledevri.com.tr/en/shop/lalezar-dinner-knife-24cm-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0034.jpg,Lale Devri,3844,,50,,,,,,,,Silver Plated,,,0.127 kg,,,,,,Collections,Cutlery Sets,
GL08,Lalezar Dinner Knife 22cm,"The silver-plated Lalezar dinner knife is crafted for refined table settings, combining elegant design with exceptional craftsmanship. Its balanced structure and ergonomic form provide both comfort and sophistication during dining. With its finely detailed handle and high-quality silver plating, the Lalezar dinner knife pairs perfectly with the matching dinner fork and spoon from the same collection, creating a distinguished atmosphere for both everyday dining and special occasions.",out of stock,new,138.00 USD,https://www.laledevri.com.tr/en/shop/lalezar-dinner-knife-22cm-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0035.jpg,Lale Devri,3844,,0,,,,,,,,Silver Plated,,,0.111 kg,,,,,,Collections,Cutlery Sets,
GL07,Lalezar Dessert Knife,"The silver-plated Lalezar dessert knife is designed to add a refined touch to elegant dessert presentations. With its balanced structure and ergonomic design, it offers a comfortable and sophisticated experience when serving cakes, desserts, and delicate sweets. With its finely crafted details and high-quality silver plating, The Lalezar dessert knife pairs perfectly with the matching dessert fork and other pieces from the collection, creating an elegant atmosphere for both everyday dessert service and special occasions. The Lalezar Series takes its name from ‘Lalezar,’ a cultural symbol reflecting the taste and aesthetic sensibilities of the Ottoman Empire during the Westernization period known as the Tulip Era.",out of stock,new,111.00 USD,https://www.laledevri.com.tr/en/shop/lalezar-dessert-knife-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0036.jpg,Lale Devri,3844,,0,,,,,,,,Silver Plated,,,0.077 kg,,,,,,Collections,Cutlery Sets,
GL06,Lalezar Dinner Spoon 21cm,"The silver-plated Lalezar dinner spoon is crafted for refined table settings, combining elegant design with exceptional craftsmanship. Its balanced structure and ergonomic form provide both comfort and sophistication during dining. With its finely detailed handle and high-quality silver plating, The Lalezar dinner spoon pairs perfectly with the matching dinner fork and knife from the same collection, creating a distinguished atmosphere for both everyday dining and special occasions. The Lalezar Series takes its name from ‘Lalezar,’ a cultural symbol reflecting the taste and aesthetic sensibilities of the Ottoman Empire during the Westernization period known as the Tulip Era.",in stock,new,252.00 USD,https://www.laledevri.com.tr/en/shop/lalezar-dinner-spoon-21cm-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0037.jpg,Lale Devri,3939,,50,,,,,,,,Silver Plated,,,0.08 kg,,,,,,Collections,Cutlery Sets,
GL05,Lalezar Dinner Spoon 20cm,"The silver-plated Lalezar dinner spoon is crafted for refined table settings, combining elegant design with exceptional craftsmanship. Its balanced structure and ergonomic form provide both comfort and sophistication during dining. With its finely detailed handle and high-quality silver plating, The Lalezar dinner spoon pairs perfectly with the matching dinner fork and knife from the same collection, creating a distinguished atmosphere for both everyday dining and special occasions. The Lalezar Series takes its name from ‘Lalezar,’ a cultural symbol reflecting the taste and aesthetic sensibilities of the Ottoman Empire during the Westernization period known as the Tulip Era.",out of stock,new,193.50 USD,https://www.laledevri.com.tr/en/shop/lalezar-dinner-spoon-20cm-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0038.jpg,Lale Devri,3939,,0,,,,,,,,Silver Plated,,,0.057 kg,,,,,,Collections,Cutlery Sets,
GL04,Lalezar Dessert Spoon,"The silver-plated Lalezar dessert spoon is designed to add a refined touch to elegant dessert presentations. With its balanced structure and ergonomic design, it offers a comfortable and sophisticated experience when serving cakes, desserts, and delicate sweets. With its finely crafted details and high-quality silver plating, The Lalezar dessert spoon pairs perfectly with the matching dessert fork and other pieces from the collection, creating an elegant atmosphere for both everyday dessert service and special occasions. The Lalezar Series takes its name from ‘Lalezar,’ a cultural symbol reflecting the taste and aesthetic sensibilities of the Ottoman Empire during the Westernization period known as the Tulip Era.",in stock,new,90.00 USD,https://www.laledevri.com.tr/en/shop/lalezar-dessert-spoon-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0039.jpg,Lale Devri,3939,,50,,,,,,,,Silver Plated,,,0.029 kg,,,,,,Collections,Cutlery Sets,
